Code|Artist|Total Views|100M|Avg
1424|Marc Segu°|353.6|1|0.288
1425|Rebecca Black|353.6|1|0.023
1426|Ruth B|353.5|1|0.112
1427|London Grammar|352.9|0|0.093
1428|Priyanka Chopra|351.9|1|0.054
1429|RUN-DMC|350.9|1|0.089
1430|Arizona Zervas|350.8|1|0.097
1431|Warren G|350.7|1|0.104
1432|Mika Singh|350.3|1|0.076
1433|Margaret|349.8|0|0.036
1434|Twister El Rey|347.7|1|0.045
1435|Technotronic|347.1|1|0.121
1436|Kate Bush|346.2|1|0.261
1437|Gianluca Vacchi|345.6|1|0.028
1438|Hurts|343.4|0|0.052
1439|Amy Macdonald|340.6|1|0.122
1440|Farid Bang|340.5|0|0.036
1441|Claudio CapÇo|339.4|1|0.073
1442|Sage The Gemini|339|2|0.022
1443|Icona Pop|336.9|1|0.049
1444|Apocalyptica|335.4|0|0.116
1445|Ketsumeishi|335|2|0.064
1446|MC Jo?o|331.9|1|0.027
1447|Superfly|329.9|1|0.073
1448|Lena|329|0|0.028
1449|Tacabro|326.7|2|0.049
1450|Yohani|326.4|1|0.066
1451|Sukima Switch|325.8|1|0.059
1452|Natasha Bedingfield|323.2|1|0.057
1453|Janelle Mon†e|320.7|0|0.042
1454|Wagakki Band|319.8|1|0.044
1455|Feder|318|2|0.064
1456|CLC|317.5|0|0.033
1457|Klingande|316.4|1|0.025
1458|Ryan Higa|314|0|0.009
1459|Adel Tawil|312.8|0|0.043
1460|Echosmith|312.5|1|0.05
1461|Misia|311.8|0|0.081
1462|Alien Ant Farm|311.5|1|0.111
1463|Wyclef Jean|310.9|2|0.091
1464|Cee Lo Green|310.2|1|0.026
1465|Ronnie Flex|307.2|0|0.018
1466|Evaluna Montaner|306.5|2|0.031
1467|Paolo Nutini|306.1|0|0.062
1468|Robyn|306|0|0.039
1469|Claudia Leitte|305.4|0|0.032
1470|Elle King|304.5|1|0.1
1471|Salt-N-Pepa|304.3|2|0.076
1472|Vanessa Hudgens|303|1|0.007
1473|Lykke Li|302.5|0|0.034
1474|Ashley Tisdale|302.5|0|0.012
1475|Francesco Renga|302.1|0|0.034
1476|Jidenna|301.4|0|0.03
1477|MC Gui|301.3|0|0.008
1478|Rednex|300.6|1|0.132
1479|Belinda|299.8|0|0.063
1480|Die Toten Hosen|297.7|0|0.084
1481|Pacheco|295.6|1|0.022
1482|Ermal Meta|294.6|0|0.036
1483|Shontelle|293.7|1|0.041
1484|The Veronicas|293.5|1|0.053
1485|Israel Novaes|293.3|0|0.016
1486|The-Dream|292.2|0|0.061
1487|Olexesh|290.8|1|0.04
1488|Manu Gavassi|289.6|0|0.015
1489|DJ Sem|288.6|1|0.02
1490|Gianluca Grignani|287.2|1|0.341
1491|Flower|287.1|0|0.058
1492|Bausa|286|1|0.038
1493|Hooverphonic|285.6|1|0.1
1494|Tr?nh ?çnh Quang|285.1|1|0.021
1495|Kelis|284.3|0|0.057
1496|Near|283.2|1|0.045
1497|O-Zone|282.7|1|0.123
1498|Robert Miles|282.1|1|0.105
1499|Chyno Miranda|281.9|1|0.022
1500|Afroman|280.8|1|0.114
1501|Aloe Blacc|280|0|0.032
1502|Estelle|279.8|1|0.084
1503|Kardinal Offishall|279.5|1|0.094
1504|Brandon Beal|279.5|1|0.053
1505|BoA|279.3|0|0.046
1506|Cleopatra Stratan|278.9|0|0.08
1507|Stereoact|277.7|1|0.03
1508|Veysel Mutlu|277.4|1|0.029
1509|Isyana Sarasvati|276.4|1|0.048
1510|Jeff Buckley|273.4|1|0.048
1511|Plain White T's|272.2|0|0.029
1512|Darude|270.2|1|0.061
1513|N.E.R.D|268.5|1|0.028
1514|Natalie La Rose|268.4|1|0.023
1515|MCs Pikeno e Menor|268.4|1|0.004
1516|Midnight Oil|267.3|1|0.076
1517|Charly Black|266.2|0|0.051
1518|Daniel Powter|266|1|0.068
1519|Arcade Fire|265.1|0|0.048
1520|Hunter Hayes|264.7|0|0.037
1521|Anastasija Ra?natovi?|264.6|0|0.033
1522|Faithless|264.1|1|0.157
1523|Do?ukan Manáo|264.1|1|0.025
1524|After School|261.1|1|0.078
1525|Pawe? Domaga?a|259.8|1|0.032
1526|Marteria|258.7|0|0.021
1527|Krist°na|258.3|0|0.021
1528|Anah°|256.1|0|0.109
1529|Phillip Phillips|254.8|1|0.044
1530|NU'EST|253.4|1|0.04
1531|Clementino|253.4|0|0.024
1532|Ayse Hatun ônal|252|1|0.025
1533|David Bowie|251.9|0|0.047
1534|Cobra Starship|251.2|1|0.022
1535|Spyair|249.3|0|0.048
1536|Ella Henderson|248.1|1|0.023
1537|Wheatus|246.4|1|0.084
1538|Hanson|244|1|0.054
1539|Dev|243.8|0|0.014
1540|B.A.P|242.6|0|0.015
1541|Francesca Michielin|241.2|0|0.029
1542|Nick Cave & The Bad Seeds|240.2|0|0.069
1543|Hoa Vinh|239.2|1|0.119
1544|Kiiara|237.8|1|0.036
1545|Myläne Farmer|237.6|0|0.092
1546|Ayaka|237.2|0|0.033
1547|Tay Zonday|236.3|1|0.01
1548|Giusy Ferreri|234.7|0|0.039
1549|Alle Farben|233.5|0|0.015
1550|I LOVE MAKONNEN|233.2|1|0.035
1551|Marvin Gaye|233|1|0.085
1552|Paul McCartney|232.4|0|0.098
1553|Max Gazzä|232.3|0|0.026
1554|Kwabs|232|1|0.032
1555|Cesare Cremonini|231.4|0|0.06
1556|R†faga|230.4|0|0.054
1557|Yeah Yeah Yeahs|230.3|0|0.08
1558|Ghetto PhÇnomäne|230.1|1|0.024
1559|Willow Smith|230|1|0.099
1560|MC Lon|229.3|0|0.016
1561|La Joaqui|229.1|0|1.747
1562|Martin Tungevaag|227.6|1|0.02
1563|Glasperlenspiel|226.6|1|0.028
1564|Daya|222.6|0|0.018
1565|HAIM|220.4|0|0.028
1566|Max Giesinger|219.7|0|0.033
1567|amazarashi|219.6|0|0.05
1568|Gestîrt aber GeiL|219.2|0|0.02
1569|Alex Mica|217.4|1|0.024
1570|GloRilla|216.5|0|0.856
1571|Steps|215.4|0|0.107
1572|Juan Karlos|213.4|1|0.037
1573|Xantos|212.7|1|0.03
1574|David Archuleta|212.6|1|0.041
1575|Pardison Fontaine|210.2|1|0.035
1576|Soul Asylum|209.5|1|0.071
1577|Crayon Pop|208.6|0|0.023
1578|Dulce Mar°a|207.3|0|0.033
1579|Loreen|207.3|1|0.027
1580|MC Bin Laden|206.4|1|0.008
1581|Valesca Popozuda|206|1|0.02
1582|Snakehips|205.9|0|0.02
1583|Pietro Lombardi|204.1|0|0.022
1584|Duffy|203.2|0|0.02
1585|Psirico|201.1|1|0.039
1586|Alex Clare|200.8|0|0.02
1587|The Avener|200.5|0|0.036
